Detectado,Acuracia
pessoa, 0.9898
pessoa, 0.9900
pessoa, 0.9913
pessoa, 0.9886
pessoa, 0.9971
pessoa, 0.9957
pessoa, 0.9875
pessoa, 0.9975
pessoa, 0.9950
pessoa, 0.9820
pessoa, 0.7907
pessoa, 0.9891
pessoa, 0.8440
pessoa, 0.9959
pessoa, 0.9623
pessoa, 0.8776
pessoa, 0.9816
pessoa, 0.9788
pessoa, 0.9918
pessoa, 0.9975
pessoa, 0.9966
pessoa, 0.9967
pessoa, 0.9971
pessoa, 0.9961
pessoa, 0.9979
pessoa, 0.9971
pessoa, 0.9955
pessoa, 0.9944
pessoa, 0.9976
pessoa, 0.9963
pessoa, 0.9978
pessoa, 0.9940
pessoa, 0.9926
pessoa, 0.9947
pessoa, 0.9962
pessoa, 0.9977
